"Plot_Name","Unit_Code","Panel","Physio","Directions","Location_Notes","SampleYear","Lat","Long","IsStuntedWoodland","Num_Live_Trees","Num_Dead_Trees","Inv_Shrub_Cov","Num_Seedlings","Num_Saplings","Num_Quad_Species","Num_Add_Species","BL","BR","UL","UR"
"ACAD-001","ACAD","1","Hydric- Swamps/Bogs","Park at powerline/bike path at Mosquito Harbor before Frazer point. There is a pull off harbor side.","Carpet moss forest, thick spruce/fir midstory. Stakes were off above and below original orientation. Orientation was changed to minimize number of stakes reset.",2026,44.369447,-68.070399,FALSE,14,13,0,101,21,7,5,"ACAD_001_BL_20260622.JPG","ACAD_001_BR_20260622.JPG","ACAD_001_UL_20260622.JPG","ACAD_001_UR_20260622.JPG"
"ACAD-002","ACAD","1","Mesic- Rolling Uplands","Park at Schoodic Head parking area, proceed about 100 m down road, then out to plot.","Huckelberry understory, jack pine forest on schoodic head. ",2026,44.352056,-68.0543,FALSE,12,6,0,26,4,15,6,"ACAD_002_BL_20260622.JPG","ACAD_002_BR_20260622.JPG","ACAD_002_UL_20260622.JPG","ACAD_002_UR_20260622.JPG"
"ACAD-003","ACAD","1","Xeric- Dry Tops","Schoodic Point parking area, take social trail from top of loop","Questionable site (25% cover?); jack pine stunted woodland.",2026,44.333374,-68.059642,TRUE,37,6,0,7,4,18,3,"ACAD_003_BL_20260622.JPG","ACAD_003_BR_20260622.JPG","ACAD_003_UL_20260622.JPG","ACAD_003_UR_20260622.JPG"
"ACAD-004","ACAD","1","Mesic- Flatwoods","take 233 west from hdqrts.  Parking area on right.  Cross small stream and powerline. Going 310 to 320 bearing.","Coniferous forest with tamarack.",2026,44.377204,-68.293637,FALSE,18,7,0,2,1,8,6,"ACAD_004_BL_20260615.JPG","ACAD_004_BR_20260615.JPG","ACAD_004_UL_20260615.JPG","ACAD_004_UR_20260615.JPG"
"ACAD-005","ACAD","1","Xeric- Dry Slopes","beachcroft trail, to a 60 degree bearing","Red oak, big tooth aspen forest.  No ACAD plot tag. 2014-changed plot orientation to 182 from 180",2026,44.357813,-68.201049,FALSE,21,2,0,10,4,30,14,"ACAD_005_BL_20260615.JPG","ACAD_005_BR_20260615.JPG","ACAD_005_UL_20260615.JPG","ACAD_005_UR_20260615.JPG"
"ACAD-006","ACAD","1","Xeric- Dry Tops","parker mountain trail","Near Trail, stunted red spruce woodland. Blueberries!! 2014: Changed orientation from 280 to 286. UL rebar not able to install- oved it to UC.",2026,44.339725,-68.286536,TRUE,23,2,0,0,0,13,5,"ACAD_006_BL_20260706.JPG","ACAD_006_BR_20260706.JPG","ACAD_006_UL_20260706.JPG","ACAD_006_UR_20260706.JPG"
"ACAD-007","ACAD","1","Mesic- Moist Slopes and Coves","great slide trail to 250 deg. Bearing","Openings in canopy; red spruce dominated, near trail.",2026,44.349058,-68.288919,FALSE,25,1,0,8,5,9,6,"ACAD_007_BL_20260623.JPG","ACAD_007_BR_20260623.JPG","ACAD_007_UL_20260623.JPG","ACAD_007_UR_20260623.JPG"
"ACAD-008","ACAD","1","Hydric- Small Drain","jordon pond carraige trail","Tree size Amelanchier, near Jordon pond.",2026,44.33178,-68.26038,FALSE,29,3,0,1,14,7,11,"ACAD_008_BL_20260706.JPG","ACAD_008_BR_20260706.JPG","ACAD_008_UL_20260706.JPG","ACAD_008_UR_20260706.JPG"
"ACAD-009","ACAD","1","Mesic- Rolling Uplands","750m up Cadillac South Ridge trail.","Chose north transect because of two competing slopes in plot; red spruce, white cedar forest. Reset BC 06/30/2014",2026,44.318983,-68.217879,FALSE,18,6,0,17,3,13,6,"ACAD_009_BL_20260623.JPG","ACAD_009_BR_20260623.JPG","ACAD_009_UL_20260623.JPG","ACAD_009_UR_20260623.JPG"
"ACAD-010","ACAD","1","Xeric- Dry Slopes","Park at base of McFarland Air Research Station gated road near HQ, then take unmapped trail near base of road that begins at electric pole number 3 near gate, on left when driving towards weather station, Leads to mcfarland mountain summit and then spits out close to plot, beautiful views","UL corner witness trees; ur micro stake flat to ground; rocky beech, red maple forest.",2026,44.384743,-68.267195,FALSE,16,2,0,11,14,13,7,"ACAD_010_BL_20260617.JPG","ACAD_010_BR_20260617.JPG","ACAD_010_UL_20260617.JPG","ACAD_010_UR_20260617.JPG"
